Slno,Country_Name,Country_Code,Pop_2016
1,Poland,POL,39.469
2,Greece,GRC,21.671
3,Australia,AUS,10.446
4,China,CHN,43.222
5,Pakistan,PAK,60.776
6,United States,USA,18.212
7,Maldives,MDV,53.46
8,Afghanistan,AFG,72.868
9,Belgium,BEL,2.103
10,Switzerland,CHE,26.01
11,Brazil,BRA,14.067
12,South Africa,ZAF,34.705
13,France,FRA,20.25
14,Italy,ITA,30.884
15,Thailand,THA,48.46
16,Spain,ESP,20.198
17,Sri Lanka,LKA,81.593
18,India,IND,66.864
19,Japan,JPN,6.072
20,United Kingdom,GBR,17.165
